,AC_AREA,AXIS_FID,CLOUD_SCORE,COVERAGE_SCORE,DATE_ACQUIRED,DGO_Area,DGO_FID,DGO_WIDTH,DISTANCE,LANDSAT_PRODUCT_ID,ORDERING_F,Type_I,Type_II,Type_III,Type_IV,VEGETATION_AREA,VEGETATION_PERIMETER,WATER_AREA,WATER_PERIMETER,MEAN_AC_MNDWI,MEAN_AC_NDVI,MEAN_MNDWI,MEAN_NDVI,MEAN_WATER_MNDWI,MEAN_VEGETATION_MNDWI,MEAN_VEGETATION_NDVI,Type_V
79,6219,1,1,100,2020-01-26,5592426.734,19,1490.08804,36000,LC08_L2SP_137039_20200126_20200823_02_T1,1000019,1,2,6,0,0,0.0,67,2493.864720829714,-0.14670602659991447,0.05808663060162242,-0.1467019145792076,0.05808202181457708,0.044651807090415774,,,
80,5295,1,3,84,2020-01-10,5592426.734,19,1490.08804,36000,LC08_L2SP_137040_20200110_20200823_02_T1,1000019,1,2,6,0,0,0.0,66,2626.796116204149,-0.12611403622977949,0.05911875864587125,-0.12620150619144568,0.05915073346122303,0.02513263761269757,,,
81,5351,1,2,85,2020-01-26,5592426.734,19,1490.08804,36000,LC08_L2SP_137040_20200126_20200823_02_T1,1000019,1,2,6,0,0,0.0,69,2507.689838286331,-0.14048552871184933,0.05608539110551091,-0.14055395244747076,0.05610560467792056,0.054580075752767604,,,
82,0,1,100,100,2020-01-02,5592426.734,19,1490.08804,36000,LE07_L2SP_137039_20200102_20200822_02_T1,1000019,1,2,6,0,0,0.0,0,0.0,,,,,,,,
83,6098,1,22,100,2020-01-18,5592426.734,19,1490.08804,36000,LE07_L2SP_137039_20200118_20200822_02_T1,1000019,1,2,6,0,0,0.0,117,4613.90774821627,-0.14795895302893458,0.04369205378503895,-0.14794146157568233,0.04369345551536046,0.062410229680557955,,,
84,5870,1,3,100,2020-01-10,5284059.63,20,2348.08507,38000,LC08_L2SP_137039_20200110_20200823_02_T1,1000020,1,2,6,7,0,0.0,64,1599.6954290224826,-0.11497167552995961,0.053497784411854044,-0.11500280155344676,0.05350812418618852,0.01485298454703065,,,
85,5872,1,0,100,2020-01-26,5284059.63,20,2348.08507,38000,LC08_L2SP_137039_20200126_20200823_02_T1,1000020,1,2,6,7,0,0.0,112,2641.871929203886,-0.13844193256426635,0.05060664768118158,-0.1384925397297011,0.05060749982062908,0.03701581593081004,,,
86,5040,1,15,90,2020-01-10,5284059.63,20,2348.08507,38000,LC08_L2SP_137040_20200110_20200823_02_T1,1000020,1,2,6,7,0,0.0,58,1813.8105280526838,-0.12390656188851631,0.05609689457932007,-0.1239102020639068,0.056093677290817524,0.01609443050192907,,,
87,5391,1,2,91,2020-01-26,5284059.63,20,2348.08507,38000,LC08_L2SP_137040_20200126_20200823_02_T1,1000020,1,2,6,7,0,0.0,90,2202.32915240931,-0.13391294457135808,0.04861347932497503,-0.13392725976150352,0.04860545104041563,0.03386202979352457,,,
88,0,1,100,100,2020-01-02,5284059.63,20,2348.08507,38000,LE07_L2SP_137039_20200102_20200822_02_T1,1000020,1,2,6,7,0,0.0,0,0.0,,,,,,,,
89,5714,1,21,100,2020-01-18,5284059.63,20,2348.08507,38000,LE07_L2SP_137039_20200118_20200822_02_T1,1000020,1,2,6,7,0,0.0,184,5426.87455044769,-0.138896063156726,0.03682601478395714,-0.13891045996207108,0.036823210358274225,0.05474956056859518,,,
